name,slug,description,price,costPrice,wholesalePrice,compareAtPrice,images,category,sku,stock,isActive,isFeatured,showInPromotions,seoTitle,seoDescription,oemNumbers,attr_type,attr_ապրանքանիշ,attr_սեզոն,attr_լայնություն,attr_պրոֆիլ,attr_չափ,attr_տրամագիծ,vehicle_brand,vehicle_model,vehicle_yearFrom,vehicle_yearTo
,,,,,,,,Ամրակներ,C0054,0,այո,,,,,8911497,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0055,0,այո,,,,,MB880455,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0056,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0056DarkGrey,0,այո,,,,,"6777189111,6777189109",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0057,0,այո,,,,,9046710166,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0058,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0059,0,այո,,,,,8911473,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0060,0,այո,,,,,"4005099,796255,6033862",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0061,0,այո,,,,,"992740822,6258114020",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0062,0,այո,,,,,91510SR3003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0063,0,այո,,,,,9046707138,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0064,0,այո,,,,,91566SP0003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0065,0,այո,,,,,91513SE0003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0066,0,այո,,,,,91530SP1003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0067,0,այո,,,,,"6777130070,6777132080,94078FC010,MB608410",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0068,0,այո,,,,,91530ST5003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0069,0,այո,,,,,"10207146,21077323",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0070,0,այո,,,,,0155303101,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0071,0,այո,,,,,21095797,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0072,0,այո,,,,,91550SH3003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0073,0,այո,,,,,0128100501,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0073White,0,այո,,,,,"MB023930,999100402",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0074,0,այո,,,,,91620SR2003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0075,0,այո,,,,,"MU480034,MU480032,MU480036,TQ399C06,TQ39904",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0076,0,այո,,,,,91578SV4003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0076Yellow,0,այո,,,,,91578T0A003,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0077,0,այո,,,,,813350022,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0078,0,այո,,,,,F1TZ7810182A,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0079,0,այո,,,,,"38529689A6300,91515SM4003",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0079DarkBrown,0,այո,,,,,8099944N00,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0080,0,այո,,,,,MR138807,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0081,0,այո,,,,,"90505SL0003,94852368,MB888869,9046708155",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0082,0,այո,,,,,"15633873,20175051",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0083,0,այո,,,,,"91512SX0003,MU000319,MR220501,11519949",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0084,0,այո,,,,,"96057847,94847334,9046707066,9046707066P0,9046707066E0,904670706622,9046707066A0,9046707066P2,0940907313,MB955901,0940907313",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0084GreyBlack,0,այո,,,,, 9046707066E5,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0084GreyYellow,0,այո,,,,,"9046707066,9046707066A0",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0084DarkGrey,0,այո,,,,,9046707066P4,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0085,0,այո,,,,,"6682401G00,0155305313,09409063145PK,0940906314T01,59122PA010,90116S7S003Z,90116SP0003,90116S7S003ZA",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0085GreyYellow,0,այո,,,,,90116S7S003ZA,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0085Grey,0,այո,,,,,0155305313,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0086,0,այո,,,,,62869N4700,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0087,0,այո,,,,,"906876710030,90687671003",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0088,0,այո,,,,,"0155309321,MR328954,MR598954",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0089,0,այո,,,,,"0155309241,57728AC090",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0090,0,այո,,,,,"9046707166,MU000262,6822NK*,000000000010026390*,000000000010026391*,1022000700*,BYDQ831S02*",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0091,0,այո,,,,,"90683SA5003,0155301203,0155303573,9046706153,9040906319",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0092,0,այո,,,,,9046707044,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0093,0,այո,,,,,H121467,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0094,0,այո,,,,,"0016830200,9095001248",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0095,0,այո,,,,,"90687SA50030,90687SA5003",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0096,0,այո,,,,,27948M7002,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0097,0,այո,,,,,9046707117,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0098,0,այո,,,,,"906706920030,9046709065,90670692003",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0099,0,այո,,,,,"9046710018,0155300202,90467A9001,1018912400,1108139100,BYDQ835A0703,1085326000",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0100,0,այո,,,,,9046709138,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0101,0,այո,,,,,"388904S,4381395,6501086",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0102,0,այո,,,,,"6501086,20319841",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0103,0,այո,,,,,20511451,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0104,0,այո,,,,,"W701380SSW,1629082",,,,,,,,,,,
